store,address,phone,address2,지역 시/군/구
과천타워점,경기 과천시 별양상가1로 10 과천타워 109호 (별양동),1577-9621,경기도 과천시 별양상가1로 10 과천타워 109호 (별양동),과천시
김포율생점,경기 김포시 대곶면 율생중앙로 33,1577-9621,경기도 김포시 대곶면 율생중앙로 33,김포시
부천광장점,경기 부천시 부천로10번길 13,032-611-3884,경기도 부천시 부천로10번길 13,부천시
오산본점,경기 오산시 궐리사로46번길 60-11,1577-9621,경기도 오산시 궐리사로46번길 60-11,오산시
원곡다문화점,경기도 안산시 단원구 중앙대로 489,1577-9621,경기도 안산시 단원구 중앙대로 489,안산시단원구
월곶센타점,경기 시흥시 월곶중앙로 71,1577-9621,경기도 시흥시 월곶중앙로 71,시흥시
역곡남부점,경기 부천시 부광로 10,1577-9621,경기도 부천시 부광로 10,부천시
고잔로데오점,경기 안산시 단원구 광덕2로 163-11,1577-9621,경기도 안산시 단원구 광덕2로 163-11,안산시단원구
안산중앙역점,경기 안산시 단원구 고잔로 108,031-405-3336,경기도 안산시 단원구 고잔로 108,안산시단원구
광주초월점,경기 광주시 초월읍 산수로 500,1577-9621,경기도 광주시 초월읍 산수로 500,광주시
수원파장점,경기 수원시 장안구 장안로 264-11 (정자동),1577-9621,경기도 수원시 장안구 장안로 264-11 (정자동),수원시 장안구
소사삼익점,"경기 부천시 안곡로 4 삼익아파트 상가동 107호,108호,109호",1577-9621,"경기도 부천시 안곡로 4 삼익아파트 상가동 107호,108호,109호",부천시
송탄지산점,경기 평택시 탄현로 338-1,1577-9621,경기도 평택시 탄현로 338-1,평택시
판테온리젠시점,경기도 성남시 분당구 백현로 100 (정자동) 판테온리젠시 1층,031-785-7014,경기도 성남시 분당구 백현로 100 (정자동) 판테온리젠시 1층,성남시 분당구
파주신안점,경기도 파주시 아동로 46-14  (아동동 325-3),1577-9621,경기도 파주시 아동로 46-14 (아동동 325-3),파주시
양주백석점,경기 양주시 백석읍 부흥로 957,031-877-5598,경기도 양주시 백석읍 부흥로 957,양주시
성남우림점,경기 성남시 중원구 갈마치로 302 우림라이온스밸리5차 B동 204호,1577-9621,경기도 성남시 중원구 갈마치로 302 우림라이온스밸리5차 B동 204호,성남시 중원구
파주영장점,경기 파주시 광탄면 보광로 623-22,1577-9621,경기도 파주시 광탄면 보광로 623-22,파주시
여주능서점,경기 여주시 능서면 마장로 68,031-881-4350,경기도 여주시 능서면 마장로 68,여주시
홍죽산단점,경기도 양주시 백석읍 권율로 1307,1577-9621,경기도 양주시 백석읍 권율로 1307,양주시
